State,Total,White,Black,Hispanic,Asian/Pacific Islander,Asian,Pacific Islander,American Indian/Alaska/Native,Two or more races,Students with Disabilities,Limited English,Economically disadvantaged
UnitedStates,85,89,78,80,91,---,---,72,---,67,66,78
Alabama,89,91,87,88,95,---,---,---,91,---,---,---
Alaska,78,82,74,77,84,88,77,69,75,59,58,72
Arizona,78,83,74,75,89,---,---,67,---,66,30,72
Arkansas,88,90,83,86,86,92,69,89,86,84,82,85
California,83,87,73,80,93,93,91,68,70,65,67,79
Colorado,79,84,72,71,89,90,77,64,80,57,65,69
Connecticut,88,93,80,78,95,95,81,88,88,67,68,78
Delaware,87,90,83,82,95,96,>=50,76,91,69,69,78
DistrictofColumbia,73,85,72,72,78,‡,‡,‡,>=90,53,63,73
Florida,82,86,75,81,93,93,87,80,83,66,67,77
Georgia,81,84,78,74,91,---,---,79,82,59,59,76
Hawaii,83,80,79,80,84,---,---,79,---,65,69,78
Idaho,80,81,70,75,85,86,78,66,76,61,75,72
Illinois,87,91,79,84,95,95,82,81,86,71,74,79
Indiana,84,88,71,76,80,81,70,76,82,71,50,80
Iowa,91,93,82,82,91,93,77,83,85,74,80,84
Kansas,87,89,78,81,93,94,75,81,84,78,80,79
Kentucky,90,91,82,84,92,93,76,77,87,74,67,87
Louisiana,78,84,73,67,90,91,77,81,82,53,36,73
Maine,87,87,83,89,89,88,>=50,71,79,73,81,79
Maryland,88,93,85,74,96,96,89,86,91,68,45,79
Massachusetts,88,93,80,74,94,94,78,81,85,73,63,79
Michigan,80,84,69,73,91,91,85,68,75,57,69,68
Minnesota,83,88,65,66,85,86,63,51,71,61,65,69
Mississippi,83,87,79,81,91,91,>=80,80,79,36,67,80
Missouri,88,91,76,84,91,---,---,84,89,77,67,80
Montana,86,89,81,80,91,94,83,69,---,77,63,77
Nebraska,89,93,81,82,82,82,85,70,86,71,50,82
Nevada,81,84,68,80,91,93,82,74,81,65,82,77
NewHampshire,89,90,79,76,93,93,>=50,75,85,74,78,78
NewJersey,91,95,83,84,97,97,>=95,92,92,79,76,84
NewMexico,71,76,68,71,85,---,---,61,---,62,68,66
NewYork,82,90,72,71,88,88,77,67,83,55,31,75
NorthCarolina,87,89,84,81,94,---,---,84,84,70,58,82
NorthDakota,87,91,75,76,80,80,---,68,---,66,69,74
Ohio,84,88,69,74,88,---,---,76,79,71,55,73
Oklahoma,83,84,80,79,86,86,84,83,83,77,57,77
Oregon,77,78,68,73,86,89,69,59,77,59,55,70
Pennsylvania,87,91,74,74,92,92,90,73,79,74,65,80
RhodeIsland,84,88,81,76,88,89,68,73,79,63,72,76
SouthCarolina,84,85,81,81,93,---,---,76,---,54,77,85
SouthDakota,84,90,78,71,85,‡,‡,50,78,60,59,67
Tennessee,90,93,84,84,94,94,93,89,---,73,74,85
Texas,90,94,86,88,96,96,89,86,92,77,76,87
Utah,86,88,73,77,87,89,86,74,87,69,67,77
Vermont,89,90,77,90,82,‡,‡,‡,83,76,66,81
Virginia,87,91,83,73,93,94,91,83,90,60,57,78
Washington,79,82,72,73,85,88,68,62,80,59,58,70
WestVirginia,89,90,87,92,95,95,>=50,>=80,83,76,‡,87
Wisconsin,89,93,67,80,91,91,85,79,84,68,65,77
Wyoming,86,88,83,80,84,81,>=50,59,79,68,77,65
