Rank,School System,State,Enrollment,Overall Total Percentage,Federal Total Percentage,Federal Title I,State Total Percentage,State General Formula Assistance,Local Total Percentage,Local Taxes Parent Government Contributions,Other Local Government,Charges,grad_rate
0,New York City,New York,984462,100.0,6.9,3.2,37.1,25.2,56.0,52.1,0.0,0.2,87.0
1,Los Angeles Unified,California,633621,100.0,10.8,3.6,62.8,48.0,26.3,20.2,2.0,0.8,77.7
2,Chicago,Illinois,378199,100.0,13.4,5.0,34.4,28.3,52.2,46.5,1.3,0.9,85.8
3,Miami-Dade County,Florida,357249,100.0,12.3,3.8,29.9,10.0,57.8,52.5,0.0,3.6,80.6
4,Clark County,Nevada,326953,100.0,9.2,2.9,62.2,18.9,28.6,26.9,0.0,0.5,84.9
5,Broward County,Florida,271852,100.0,10.9,2.5,38.8,16.7,50.3,43.3,0.0,4.5,88.3
6,Houston,Texas,216106,100.0,12.1,3.7,8.1,5.1,79.8,75.9,1.3,0.5,82.4
7,Hillsborough County,Florida,214386,100.0,14.3,3.2,50.5,23.9,35.2,28.7,0.0,3.0,87.8
8,Orange County,Florida,200674,100.0,9.6,2.7,34.5,14.8,55.9,48.7,0.0,2.6,87.7
9,Palm Beach County,Florida,192721,100.0,9.1,2.3,24.5,7.8,66.4,58.4,0.0,6.2,87.9
10,Fairfax County,Virginia,187467,100.0,4.4,0.7,21.9,16.4,73.6,68.7,1.6,1.9,91.7
11,Hawaii Public Schools,Hawaii,181550,100.0,8.9,1.8,89.1,44.1,2.0,0.0,0.0,1.5,91.6
12,Gwinnett County,Georgia,178214,100.0,7.4,2.1,48.0,30.7,44.6,37.9,1.9,2.7,87.5
13,Wake County,North Carolina,160467,100.0,7.4,1.8,61.1,61.1,31.5,28.5,0.0,2.1,92.3
14,Montgomery County,Maryland,159010,100.0,3.8,0.8,27.9,11.7,68.3,67.4,0.0,0.7,91.2
15,Dallas,Texas,157886,100.0,14.8,3.9,17.7,14.1,67.5,64.8,0.0,0.5,78.0
16,Charlotte/Mecklenburg,North Carolina,147428,100.0,10.3,3.2,56.0,55.0,33.7,29.6,0.0,2.0,89.6
17,Philadelphia,Pennsylvania,133929,100.0,10.0,4.4,48.9,33.2,41.1,36.0,0.5,0.0,82.0
18,Prince Georges County,Maryland,130814,100.0,6.4,1.6,53.5,25.7,40.1,37.8,0.0,0.7,85.8
19,Duval County,Florida,129479,100.0,12.0,3.3,50.2,25.3,37.8,32.1,0.0,4.0,88.9
20,San Diego Unified,California,128040,100.0,9.1,2.2,33.5,20.3,57.3,49.2,4.1,0.7,86.4
21,Cypress-Fairbanks,Texas,114868,100.0,7.5,1.5,31.6,27.8,60.9,55.8,0.1,3.3,80.2
22,Cobb County,Georgia,113151,100.0,6.7,1.8,40.4,17.1,52.8,43.8,2.4,4.7,91.2
23,Baltimore County,Maryland,112139,100.0,5.7,1.5,41.7,20.9,52.6,51.6,0.0,0.7,90.6
24,Shelby County,Tennessee,111403,100.0,18.4,6.1,39.4,38.0,42.1,36.1,0.1,2.7,87.1
25,Northside,Texas,106145,100.0,9.9,1.8,30.1,26.2,60.0,55.9,0.0,2.6,82.4
26,Pinellas County,Florida,102905,100.0,10.8,2.6,34.1,13.7,55.2,50.1,0.1,3.1,88.7
27,Polk County,Florida,102295,100.0,12.7,3.2,54.2,27.2,33.1,24.6,0.0,6.3,84.0
28,DeKalb County,Georgia,101284,100.0,8.1,2.5,39.9,19.0,52.0,46.0,1.9,0.2,88.6
29,Jefferson County,Kentucky,99813,100.0,11.7,3.1,38.8,19.3,49.5,47.3,0.2,0.8,89.3
30,Fulton County,Georgia,96122,100.0,6.2,2.3,30.7,19.1,63.1,54.4,2.7,1.4,90.9
31,Lee County,Florida,92686,100.0,12.2,3.0,29.4,10.9,58.3,52.5,0.0,4.2,87.0
32,Denver,Colorado,91138,100.0,8.8,2.3,26.2,22.1,64.9,53.1,0.2,3.9,86.4
33,Albuquerque,New Mexico,90651,100.0,11.9,3.5,67.7,62.1,20.4,15.2,0.2,0.8,88.1
34,Prince William County,Virginia,89345,100.0,5.7,1.2,41.1,29.4,53.2,46.2,3.8,2.0,89.0
36,Jefferson County,Colorado,86371,100.0,5.0,1.2,42.1,38.4,52.9,44.2,0.3,7.2,94.2
37,Nashville-Davidson County,Tennessee,85163,100.0,11.5,3.1,28.1,26.7,60.4,57.9,0.0,1.8,87.5
38,Austin,Texas,83067,100.0,7.9,1.8,6.2,3.4,85.9,82.6,0.0,0.9,82.4
39,Baltimore,Maryland,82354,100.0,11.5,4.1,67.8,27.9,20.8,19.4,0.0,0.1,90.6
40,Anne Arundel County,Maryland,81379,100.0,4.6,1.0,36.7,17.3,58.7,57.4,0.0,0.9,91.9
41,Alpine,Utah,78957,100.0,5.5,1.3,59.5,34.4,35.0,27.6,0.0,5.1,93.3
42,Loudoun County,Virginia,78348,100.0,2.1,0.2,27.9,21.4,70.1,65.0,0.5,2.1,93.5
43,Greenville County,South Carolina,76918,100.0,8.3,2.9,51.5,12.9,40.2,29.9,3.4,4.0,86.9
44,Long Beach Unified,California,76428,100.0,10.1,2.7,65.9,50.6,24.0,16.1,2.0,0.6,77.7
45,Milwaukee,Wisconsin,76206,100.0,14.9,6.1,57.7,44.0,27.4,18.1,1.5,1.0,86.9
46,Katy,Texas,75428,100.0,5.1,0.7,27.9,23.3,66.9,62.2,0.0,3.5,80.2
47,Fort Bend,Texas,74146,100.0,6.3,1.2,30.0,25.8,63.6,60.6,0.0,2.2,88.9
48,Brevard County,Florida,73444,100.0,10.0,2.4,45.8,20.6,44.2,38.4,0.0,3.5,91.2
49,Fresno Unified,California,73356,100.0,12.1,4.3,75.4,60.2,12.5,9.8,0.8,0.2,73.8
50,Guilford County,North Carolina,73059,100.0,14.0,3.6,56.0,55.0,30.1,27.2,0.0,1.8,88.4
51,Davis County,Utah,72987,100.0,7.6,1.3,56.9,32.4,35.5,27.8,0.0,4.3,95.5
52,Pasco County,Florida,72493,100.0,10.4,2.3,54.9,27.3,34.7,26.9,0.0,3.7,88.3
53,Aldine,Texas,69768,100.0,14.3,3.6,49.5,44.9,36.2,33.5,0.0,1.3,80.2
54,Granite,Utah,69580,100.0,11.7,3.3,54.0,31.4,34.3,28.6,0.0,3.4,89.8
55,Virginia Beach,Virginia,69085,100.0,7.6,1.6,42.8,31.6,49.7,44.9,2.5,1.4,93.2
56,Seminole County,Florida,67808,100.0,8.4,1.9,47.2,22.5,44.4,37.7,0.0,4.5,93.4
58,Douglas County,Colorado,67470,100.0,2.7,0.3,46.2,42.8,51.1,37.2,0.5,9.5,97.9
59,Washoe County,Nevada,66671,100.0,9.5,2.2,65.3,21.5,25.2,22.5,0.1,1.0,87.0
60,Mesa Unified,Arizona,63444,100.0,12.1,3.6,46.1,45.3,41.9,32.1,4.9,2.4,86.9
61,Elk Grove Unified,California,63061,100.0,7.4,2.0,72.9,54.5,19.8,16.1,0.1,0.6,86.8
62,Osceola County,Florida,63031,100.0,11.7,2.8,50.5,24.5,37.8,27.2,0.1,3.3,85.7
63,Volusia County,Florida,63028,100.0,10.0,2.9,43.3,19.0,46.7,40.9,0.1,3.6,89.3
64,Arlington,Texas,62181,100.0,10.3,2.7,39.4,35.2,50.3,47.3,0.0,1.4,85.2
65,Knox County,Tennessee,60372,100.0,10.6,3.0,36.5,35.7,52.9,45.3,0.0,6.8,90.6
66,San Francisco Unified,California,60133,100.0,5.5,1.2,19.2,10.4,75.3,61.1,0.8,1.2,87.0
67,Chesterfield County,Virginia,60060,100.0,5.6,1.0,48.2,36.4,46.2,42.3,0.5,2.1,91.4
68,Conroe,Texas,59764,100.0,5.9,1.2,22.8,18.4,71.3,67.9,0.0,1.8,86.8
69,El Paso,Texas,59424,100.0,15.2,4.4,51.5,46.5,33.3,31.5,0.0,0.8,76.5
70,Garland,Texas,57133,100.0,9.2,2.1,52.0,44.5,38.8,35.5,0.2,2.1,78.0
71,Mobile County,Alabama,56628,100.0,13.8,4.3,57.0,47.6,29.1,22.0,2.5,1.7,85.8
72,Pasadena,Texas,56282,100.0,11.3,2.7,57.2,50.0,31.5,27.8,0.0,1.9,80.2
73,Frisco,Texas,55923,100.0,2.2,0.1,22.1,18.5,75.7,68.7,0.1,4.0,93.6
74,Howard County,Maryland,55626,100.0,3.0,0.6,33.3,16.5,63.7,62.4,0.0,0.8,95.3
75,Winston-Salem/Forsyth,North Carolina,55228,100.0,12.3,4.1,59.7,59.2,28.0,23.9,0.0,1.4,87.9
76,Cherry Creek,Colorado,54852,100.0,4.2,0.8,42.5,38.9,53.2,45.6,0.2,6.5,92.3
77,Santa Ana Unified,California,54505,100.0,10.9,2.4,64.4,47.6,24.7,19.1,2.8,0.3,84.3
78,Clayton County,Georgia,54345,100.0,13.1,3.9,53.4,38.1,33.5,29.1,1.3,1.9,82.3
78,Clayton County,Georgia,54345,100.0,13.1,3.9,53.4,38.1,33.5,29.1,1.3,1.9,83.6
79,Seattle,Washington,54215,100.0,5.5,1.5,48.8,35.7,45.7,39.7,0.1,1.6,92.5
80,Plano,Texas,54173,100.0,4.5,0.7,7.7,4.5,87.8,83.0,0.0,3.6,93.6
81,Boston,Massachusetts,53640,100.0,5.7,2.4,24.1,14.1,70.2,67.8,0.1,1.1,84.3
82,Capistrano Unified,California,53613,100.0,4.0,0.8,34.8,18.0,61.2,57.3,0.9,1.4,84.3
83,Jordan,Utah,53416,100.0,6.6,1.0,55.9,33.3,37.5,30.9,0.0,3.7,89.8
84,Lewisville,Texas,53257,100.0,5.3,0.7,15.0,11.1,79.7,74.4,0.1,3.9,92.0
85,Corona-Norco Unified,California,53157,100.0,5.6,1.1,64.1,47.9,30.3,20.9,5.3,0.9,80.1
86,San Bernardino Unified,California,53152,100.0,10.7,3.9,77.5,62.2,11.8,5.9,4.1,0.2,78.8
87,San Antonio,Texas,52514,100.0,19.9,4.2,42.5,38.5,37.6,35.6,0.2,0.4,81.7
88,Omaha,Nebraska,52344,100.0,11.4,2.8,41.0,33.1,47.5,45.1,0.3,0.7,89.4
89,Atlanta,Georgia,51927,100.0,8.0,3.5,19.6,12.5,72.4,56.5,2.5,0.9,90.9
91,Henrico County,Virginia,51425,100.0,7.8,2.0,43.7,32.0,48.5,45.6,0.4,2.1,90.9
92,Cumberland County,North Carolina,51194,100.0,14.4,3.2,63.2,62.2,22.4,19.0,0.0,1.7,90.3
93,Wichita Unified,Kansas,50600,100.0,11.3,3.6,69.3,53.9,19.4,14.0,2.0,0.9,89.0
94,Columbus,Ohio,50331,100.0,10.4,4.0,26.2,19.6,63.4,53.6,1.2,0.7,90.4
95,Oakland Unified,California,49760,100.0,9.4,2.6,51.8,38.1,38.8,28.9,3.0,0.1,87.3
96,San Juan Unified,California,49255,100.0,6.9,2.0,64.0,48.0,29.2,24.5,0.5,1.2,93.3
97,Manatee County,Florida,48884,100.0,10.4,2.8,33.6,13.3,56.0,47.4,0.1,6.0,88.5
98,Jefferson Parish,Louisiana,48668,100.0,13.0,4.3,37.5,36.1,49.5,46.0,0.7,0.9,84.7
99,Charleston County,South Carolina,48551,100.0,8.2,2.0,30.5,5.4,61.4,52.6,3.3,1.8,90.2
